id,internal_code
1d827b0c-55c2-4496-8aa7-48bd4f96164a,BMIDIFAL_2R
f0908b8e-b057-4547-90c8-c91e61e52a69,BMIDIFAL_2S
3ce51644-603e-48ca-bb12-1166582f309d,BMIDIFAL_2T
74a399be-1b54-4f54-9ac9-5891dbca2173,BMIDIFAL_2U
f7b874fa-3118-421b-be6b-99dcc8f77fa6,BMIDIFAL_2V
9e93512a-e916-4301-b207-01314b446db5,BMIDIFAL_2W
901312e7-448f-4930-b951-589fa578e440,BMIDIFAL_3A
3604d218-a555-46cf-b3bf-511bb1fe1847,BMIDIFAL_3B
4eac4510-a352-4531-93bb-4dba3473c071,BMIDIFAL_3C
cde74ecf-a7b8-4223-9e7d-f7002930e35c,BMIDIFAL_3D
c0ace3ae-94f9-4e45-aa89-fc5bd490f2be,BMIDIFAL_3E
f8300fa9-5ee7-433e-892d-b22ff810db7c,BMIDIFAL_3F
e773138b-c5c6-4805-b288-bb74283bb352,BMIDIFAL_3G
f3ceb85f-9c58-4c38-94ff-da278a0a781c,BMIDIFAL_3H
a2bbd11c-3182-4cbb-8bb5-edf8685e2103,BMIDIFAL_3I
e080e63e-7d5c-4d98-aac4-4f88e86c10ed,BMIDIFAL_3J
9a5e82b3-3349-49b8-a647-03160a454b72,BMIDIFAL_3K
ebab00dc-08b8-4cf7-996c-ee8cd9a60b42,BMIDIFAL_3M
1dbe3f3e-d2c5-4ec2-b6cc-4892effb5304,BMIDIFAL_3N
b806bbaa-b1d3-4622-a978-0481504b05e4,BMIDIFAL_3O
f3ca712b-b72f-4172-992a-664d28375514,BMILC002
23a24851-8f50-45f7-b163-1b1275940f34,BMIDIFAL_3P
01fae814-90ad-48a5-93bf-60bd195bf0d7,BMIDIFAL_3Q
55174065-8e64-47a4-9389-4a7fc55cd5cd,BMIDIFAL_3R
8cb95705-7f91-44b2-94ba-220e65347b33,BMILH001
3c7544f0-1402-4b75-b17c-7e2a60dff3b3,BMILC001
dc165a7b-392b-45c7-970e-e0bb11779bb5,BMIDIFAL_3S
a9033792-3811-46cd-8502-08b378bdff8f,BMIDIFAL_3T
334b86d3-ca5d-4ae1-8b97-14c93dec1a40,BMIDIFAL_3U
68a2d137-05ec-499a-8d99-2b5700ca4014,BMIDIFAL_3V
2dea5829-e0a2-4219-b763-6bb1cf2ffcbe,BMIDIFAL_3W
a2f27e08-2f33-4f20-91f1-18c5103cdce9,BMILC006
